BD,Address,Address2
"NORTHWESTERN MUTUAL INVESTMENT SERVICES, LLC","720 EAST WISCONSIN AVENUE, MILWAUKEE, WI 53202-4797",
"AMUNI FINANCIAL, INC.","720 SECOND AVE S., ST. PETERSBURG, FL 33701","P.O. BOX 11749, ST. PETERSBURG, FL 33733-9680"
"INTEGRITY BROKERAGE, LLC","720 SENECA ST STE 107, SEATTLE, WA 98101","453 S SPRING ST STE 400 PMB 285, LOS ANGELES, CA 90013"
"ENERGYNET.COM, LLC.","7201 I-40 WEST SUITE 319, AMARILLO, TX 79106",
"WATKINS FINANCIAL SERVICES, INC.","722 W SHEPARD LANE STE 103, FARMINGTON, UT 84025",
"RIDGEVIEW CAPITAL, LLC","723 W PACIFIC AVENUE, SUITE 100, SALT LAKE CITY, UT 84104",
FOLGER NOLAN FLEMING DOUGLAS INCORPORATED,"725 15TH STREET N.W., WASHINGTON, DC 20005-2109",
DOMINARI SECURITIES LLC,"725 FIFTH AVENUE, 23RD FL., NEW YORK, NY 10022",
"HALLIDAY FINANCIAL, LLC","725 GLEN COVE AVENUE, GLEN HEAD, NY 11545","725 GLEN COVE ANUENE, GLEN HEAD, NY 11545"
"CROWN CAPITAL SECURITIES, L.P.","725 TOWN & COUNTRY ROAD, SUITE 530, ORANGE, CA 92868",
"PROFUNDS DISTRIBUTORS, INC.","7272 WISCONSIN AVE., 21ST FLOOR, BETHESDA, MD 20814-6527",
"VIEWTRADE SECURITIES, INC.","7280 W. PALMETTO PARK RD., SUITE 310, BOCA RATON, FL 33433",
"LODAS SECURITIES, LLC","7285 WEST 132ND, SUITE 260, OVERLAND PARK, KS 66213",
"JSVC, LLC","729 ELEPAIO STREET, HONOLULU, HI 96816-4709",
"R.M. STARK & CO., INC.","730 S FEDERAL HWY, LAKE WORTH BEACH, FL 33460-4955",
HENNEPIN PARTNERS LLC,"730 SECOND AVENUE SOUTH, SUITE 285, MINNEAPOLIS, MN 55402",
"TIAA-CREF INDIVIDUAL & INSTITUTIONAL SERVICES, LLC","730 THIRD AVENUE, NEW YORK, NY 10017-3206","8500 ANDREW CARNEGIE BOULEVARD, MAIL STOP SSC/C2/08, CHARLOTTE, NC 28262-8500"
"CEDAR POINT CAPITAL, LLC","7300 METRO BLVD, SUITE 360, EDINA, MN 55439",
